1.684: [GC 1.684: [DefNew: 959K->64K(960K), 0.0026764 secs] 58859K->58542K(524224K), 0.0027365 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.689: [GC 1.689: [DefNew: 960K->64K(960K), 0.0025830 secs] 59439K->59169K(524224K), 0.0026528 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.694: [GC 1.694: [DefNew: 960K->63K(960K), 0.0024031 secs] 60065K->59758K(524224K), 0.0024603 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.697: [GC 1.697: [DefNew: 959K->64K(960K), 0.0023554 secs] 60654K->60287K(524224K), 0.0024016 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1.701: [GC 1.701: [DefNew: 960K->64K(960K), 0.0025850 secs] 61184K->60839K(524224K), 0.0026451 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.705: [GC 1.705: [DefNew: 960K->64K(960K), 0.0025397 secs] 61736K->61422K(524224K), 0.0026211 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.710: [GC 1.710: [DefNew: 960K->63K(960K), 0.0023934 secs] 62318K->62024K(524224K), 0.0024430 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.713: [GC 1.713: [DefNew: 959K->63K(960K), 0.0024623 secs] 62920K->62550K(524224K), 0.0025219 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1.717: [GC 1.717: [DefNew: 959K->64K(960K), 0.0026504 secs] 63446K->63222K(524224K), 0.0027062 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.722: [GC 1.722: [DefNew: 960K->64K(960K), 0.0024420 secs] 64119K->63795K(524224K), 0.0024974 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.726: [GC 1.726: [DefNew: 960K->63K(960K), 0.0025744 secs] 64691K->64362K(524224K), 0.0026215 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.731: [GC 1.731: [DefNew: 959K->63K(960K), 0.0025301 secs] 65259K->64999K(524224K), 0.0025883 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.735: [GC 1.735: [DefNew: 959K->63K(960K), 0.0025219 secs] 65895K->65569K(524224K), 0.0025753 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.740: [GC 1.740: [DefNew: 959K->63K(960K), 0.0034145 secs] 66465K->66145K(524224K), 0.0034935 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.745: [GC 1.745: [DefNew: 959K->64K(960K), 0.0030714 secs] 67043K->66850K(524224K), 0.0031340 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.750: [GC 1.750: [DefNew: 960K->63K(960K), 0.0031504 secs] 67746K->67513K(524224K), 0.0032043 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
